case_id,slice_idx,inference_time_ms,memory_usage_mb,has_tumor,image_size
case_00102,180,313.5643005371094,111.5,False,"torch.Size([1, 1, 224, 224])"
case_00203,267,27.72665023803711,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,233,18.450498580932617,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,474,18.654584884643555,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,315,18.484830856323242,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,219,19.9282169342041,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,195,20.198583602905273,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,505,18.639564514160156,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,345,19.49787139892578,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,63,20.8587646484375,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,323,19.65618133544922,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00154,461,18.576383590698242,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,107,19.103288650512695,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,116,26.54862403869629,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,48,21.821022033691406,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,206,20.159006118774414,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,79,19.83952522277832,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,428,29.78825569152832,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,379,28.987646102905273,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00203,296,18.556594848632812,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,409,21.891117095947266,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00134,507,27.942895889282227,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,339,20.630598068237305,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00134,10,21.092891693115234,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,384,22.287607192993164,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00154,465,17.533063888549805,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,151,17.647743225097656,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,415,19.772052764892578,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00161,463,18.42212677001953,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,64,19.108295440673828,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,450,19.367218017578125,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,298,19.75703239440918,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,456,21.840810775756836,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,24,20.254850387573242,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,158,20.33686637878418,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,259,21.522045135498047,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,225,19.617080688476562,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,336,19.845008850097656,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00125,422,20.08795738220215,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,126,19.86837387084961,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,27,21.741151809692383,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,395,22.284507751464844,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00079,73,18.158674240112305,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,15,18.335580825805664,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,314,19.188404083251953,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,96,18.15485954284668,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,228,19.105195999145508,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,429,19.352436065673828,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00086,438,18.939733505249023,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,439,18.67079734802246,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00014,309,19.728899002075195,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,293,21.246671676635742,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,409,20.374774932861328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,509,20.230770111083984,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,420,22.16315269470215,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,260,20.35355567932129,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,72,21.048784255981445,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,212,18.691539764404297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,261,20.374774932861328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,76,19.363880157470703,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,286,20.572662353515625,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,376,21.158456802368164,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00014,501,20.16162872314453,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,336,22.891521453857422,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,258,20.542144775390625,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,76,19.32501792907715,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,364,27.256011962890625,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,158,29.009103775024414,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,261,18.69511604309082,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,270,19.764423370361328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,261,18.3713436126709,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,452,19.56915855407715,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,210,17.926454544067383,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,451,19.06418800354004,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,64,19.188880920410156,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,175,20.336151123046875,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,487,18.269062042236328,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,322,19.09637451171875,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00102,72,18.161296844482422,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,198,19.571542739868164,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,484,18.8291072845459,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,354,19.01078224182129,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,391,26.198387145996094,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,508,27.04024314880371,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,174,20.567655563354492,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,253,18.741130828857422,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,511,20.748376846313477,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,28,18.819332122802734,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,11,19.678354263305664,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,467,27.797698974609375,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,302,29.031038284301758,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,47,18.121004104614258,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,280,19.995689392089844,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,215,27.4658203125,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,461,18.794536590576172,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00086,233,18.685102462768555,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,228,17.923355102539062,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,67,18.27836036682129,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,318,18.654823303222656,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,474,19.486188888549805,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,413,18.74852180480957,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00194,172,19.20294761657715,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00194,47,19.231319427490234,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,116,18.28479766845703,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,477,19.31023597717285,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,119,18.260478973388672,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,359,19.614696502685547,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,139,18.130064010620117,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,466,18.96071434020996,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,239,18.320798873901367,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,315,19.017696380615234,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,504,20.669221878051758,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,244,22.11618423461914,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,35,18.392324447631836,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,179,19.562482833862305,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,269,19.87743377685547,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,172,19.54364776611328,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00115,102,18.80359649658203,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,309,19.778013229370117,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00161,127,19.724607467651367,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00079,141,20.904064178466797,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,80,19.29330825805664,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,402,18.808841705322266,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00113,110,18.615245819091797,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,426,18.10908317565918,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,464,19.80447769165039,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,405,21.123409271240234,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,158,18.839120864868164,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,496,19.932031631469727,0.0,False,"torch.Size([1, 1, 224, 224])"
