case_id,slice_idx,gt_tumor_size,pred_tumor_size,gt_category,pred_category,num_gt_components,num_pred_components,tumor_dice,tumor_hd95,tumor_asd
case_00102,180,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,267,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,233,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,474,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,315,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,219,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,195,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,505,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,345,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,63,0,3,none,small,0,1,0.0,-1.0,-1.0
case_00154,323,275,332,medium,medium,1,1,0.899505766062603,2.3249218495867447,0.9882565388028012
case_00154,461,0,296,none,medium,0,1,0.0,-1.0,-1.0
case_00161,107,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,116,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,48,0,414,none,medium,0,2,0.0,-1.0,-1.0
case_00115,206,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,79,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,428,0,1343,none,large,0,1,0.0,-1.0,-1.0
case_00079,379,1584,1647,large,large,1,1,0.9705973382853605,1.4142135623730951,0.5344887651767585
case_00203,296,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,409,1515,1572,large,large,1,1,0.9640427599611273,1.4142135623730951,0.6262451282251473
case_00134,507,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,339,239,318,medium,medium,1,1,0.8438061041292639,3.1622776601683795,1.3461837815767739
case_00134,10,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,384,3243,3352,large,large,1,1,0.978620166793025,2.23606797749979,0.6086022299544745
case_00154,465,0,1433,none,large,0,1,0.0,-1.0,-1.0
case_00102,151,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,415,1415,1467,large,large,1,1,0.9680777238029147,1.4142135623730951,0.5514705882352942
case_00161,463,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,64,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,450,0,28,none,small,0,2,0.0,-1.0,-1.0
case_00125,298,0,0,none,none,0,0,1.0,0.0,0.0
case_00113,456,0,501,none,medium,0,1,0.0,-1.0,-1.0
case_00125,24,0,447,none,medium,0,3,0.0,-1.0,-1.0
case_00102,158,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,259,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,225,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,336,580,639,medium,medium,1,1,0.9056603773584906,2.0,0.9781197389230382
case_00125,422,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,126,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,27,0,13,none,small,0,1,0.0,-1.0,-1.0
case_00113,395,2055,2183,large,large,1,1,0.9476168003775366,3.0,1.0950540200304242
case_00079,73,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,15,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,314,0,0,none,none,0,0,1.0,0.0,0.0
case_00113,96,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,228,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,429,1102,1218,large,large,1,1,0.946551724137931,2.23606797749979,0.8315711429030193
case_00086,438,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,439,823,881,medium,medium,1,1,0.9565727699530516,1.4142135623730951,0.5567512789738117
case_00014,309,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,293,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,409,0,16,none,small,0,1,0.0,-1.0,-1.0
case_00115,509,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,420,0,227,none,medium,0,1,0.0,-1.0,-1.0
case_00203,260,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,72,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,212,0,6,none,small,0,1,0.0,-1.0,-1.0
case_00113,261,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,76,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,286,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,376,1584,1634,large,large,1,1,0.966438781852082,2.0,0.6492276308425848
case_00014,501,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,336,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,258,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,76,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,364,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,158,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,261,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,270,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,261,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,452,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,210,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,451,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,64,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,175,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,487,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,322,380,391,medium,medium,1,1,0.9364461738002594,1.4142135623730951,0.6408746807614213
case_00102,72,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,198,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,484,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,354,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,391,0,34,none,small,0,1,0.0,-1.0,-1.0
case_00134,508,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,174,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,253,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,511,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,28,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,11,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,467,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,302,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,47,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,280,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,215,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,461,138,189,medium,medium,3,1,0.7828746177370031,2.20065778087482,0.8431372549019608
case_00086,233,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,228,0,0,none,none,0,0,1.0,0.0,0.0
case_00113,67,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,318,0,6,none,small,0,1,0.0,-1.0,-1.0
case_00134,474,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,413,96,129,small,medium,1,1,0.8,2.38415776431139,1.094019153097813
case_00194,172,57,79,small,small,1,1,0.8235294117647058,1.4142135623730951,0.7290790557990391
case_00194,47,0,34,none,small,0,1,0.0,-1.0,-1.0
case_00033,116,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,477,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,119,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,359,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,139,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,466,0,55,none,small,0,2,0.0,-1.0,-1.0
case_00134,239,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,315,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,504,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,244,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,35,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,179,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,269,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,172,169,206,medium,medium,1,1,0.88,3.544996147917585,0.9979828953317169
case_00115,102,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,309,22,0,small,none,1,0,0.0,-1.0,-1.0
case_00161,127,119,169,medium,medium,1,2,0.7847222222222222,14.032101962856379,4.30773615277271
case_00079,141,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,80,0,80,none,small,0,1,0.0,-1.0,-1.0
case_00113,402,1957,2095,large,large,1,1,0.945705824284304,3.1622776601683795,1.1192598798337974
case_00113,110,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,426,0,25,none,small,0,2,0.0,-1.0,-1.0
case_00113,464,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,405,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,158,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,496,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,106,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,205,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,449,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,58,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,52,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,51,0,1381,none,large,0,1,0.0,-1.0,-1.0
case_00014,335,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,406,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,41,0,38,none,small,0,1,0.0,-1.0,-1.0
case_00033,429,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,492,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,132,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,509,0,150,none,medium,0,1,0.0,-1.0,-1.0
case_00113,475,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,411,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,330,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,38,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,328,0,191,none,medium,0,1,0.0,-1.0,-1.0
case_00075,303,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,498,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,416,57,76,small,small,1,1,0.8421052631578947,1.0,0.7931190208286332
case_00033,323,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,303,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,30,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,355,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,47,0,469,none,medium,0,2,0.0,-1.0,-1.0
case_00102,322,2250,2384,large,large,1,1,0.9602934829520933,2.23606797749979,0.8458700050181893
case_00075,443,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,342,753,771,medium,medium,1,1,0.937007874015748,2.0,0.6698113207547169
case_00086,166,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,124,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,343,95,106,small,medium,1,1,0.9054726368159204,1.4142135623730951,0.45044417382415924
case_00033,50,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,257,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,460,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,156,363,415,medium,medium,1,1,0.9177377892030848,2.20065778087482,0.7941176470588235
case_00203,237,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,233,0,0,none,none,0,0,1.0,0.0,0.0
case_00134,429,0,1203,none,large,0,1,0.0,-1.0,-1.0
case_00203,441,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,476,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,37,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,368,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,361,1392,1441,large,large,1,1,0.9671726085421815,2.0,0.5806451612903226
case_00102,477,0,203,none,medium,0,1,0.0,-1.0,-1.0
case_00133,60,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,334,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,288,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,464,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,65,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,224,0,0,none,none,0,0,1.0,0.0,0.0
case_00079,211,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,333,305,302,medium,medium,1,1,0.929159802306425,2.0,0.5788252421852338
case_00115,218,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,123,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,478,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,398,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,109,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,59,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,2,0,0,none,none,0,0,1.0,0.0,0.0
case_00115,359,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,100,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,290,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,510,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,377,0,0,none,none,0,0,1.0,0.0,0.0
case_00125,251,0,0,none,none,0,0,1.0,0.0,0.0
case_00113,63,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,240,0,0,none,none,0,0,1.0,0.0,0.0
case_00133,239,0,20,none,small,0,1,0.0,-1.0,-1.0
case_00194,100,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,367,0,0,none,none,0,0,1.0,0.0,0.0
case_00113,219,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,272,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,37,0,0,none,none,0,0,1.0,0.0,0.0
case_00033,277,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,499,0,0,none,none,0,0,1.0,0.0,0.0
case_00014,329,0,0,none,none,0,0,1.0,0.0,0.0
case_00203,81,0,0,none,none,0,0,1.0,0.0,0.0
case_00154,140,0,0,none,none,0,0,1.0,0.0,0.0
case_00075,72,0,0,none,none,0,0,1.0,0.0,0.0
case_00086,309,0,0,none,none,0,0,1.0,0.0,0.0
case_00102,51,0,0,none,none,0,0,1.0,0.0,0.0
case_00194,134,0,0,none,none,0,0,1.0,0.0,0.0
case_00161,110,0,50,none,small,0,1,0.0,-1.0,-1.0
