2024-12-04 10:54:40,481 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Configure stats pid to 705518
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Loading settings from /home/hous/.config/wandb/settings
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Loading settings from /home/hous/Desktop/Kidney_Segmentation/wandb/settings
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'TransUNet/train.py', 'program_abspath': '/home/hous/Desktop/Kidney_Segmentation/TransUNet/train.py', 'program': 'TransUNet/train.py'}
2024-12-04 10:54:40,482 INFO    MainThread:705518 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:_log_setup():533] Logging user logs to /home/hous/Desktop/Kidney_Segmentation/wandb/run-20241204_105440-9hzo5mnu/logs/debug.log
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:_log_setup():534] Logging internal logs to /home/hous/Desktop/Kidney_Segmentation/wandb/run-20241204_105440-9hzo5mnu/logs/debug-internal.log
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:init():619] calling init triggers
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {'root_path': 'kits19/data', 'list_dir': './lists_kits19', 'dataset': 'KiTS19', 'num_classes': 3, 'max_iterations': 30000, 'max_epochs': 100, 'batch_size': 8, 'n_gpu': 1, 'deterministic': 1, 'base_lr': 0.01, 'img_size': 224, 'seed': 1234, 'n_skip': 3, 'vit_name': 'R50-ViT-B_16', 'vit_patches_size': 16, 'exp': 'TU_KiTS19_224'}
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:init():669] starting backend
2024-12-04 10:54:40,483 INFO    MainThread:705518 [wandb_init.py:init():673] sending inform_init request
2024-12-04 10:54:40,489 INFO    MainThread:705518 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-04 10:54:40,490 INFO    MainThread:705518 [wandb_init.py:init():686] backend started and connected
2024-12-04 10:54:40,500 INFO    MainThread:705518 [wandb_init.py:init():781] updated telemetry
2024-12-04 10:54:40,502 INFO    MainThread:705518 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-04 10:54:41,252 INFO    MainThread:705518 [wandb_init.py:init():867] starting run threads in backend
2024-12-04 10:54:41,332 INFO    MainThread:705518 [wandb_run.py:_console_start():2456] atexit reg
2024-12-04 10:54:41,332 INFO    MainThread:705518 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-04 10:54:41,332 INFO    MainThread:705518 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-04 10:54:41,332 INFO    MainThread:705518 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-04 10:54:41,334 INFO    MainThread:705518 [wandb_init.py:init():911] run started, returning control to user process
2024-12-04 10:55:58,559 WARNING MsgRouterThr:705518 [router.py:message_loop():75] message_loop has been closed
